Date,Channel,KPI,Value,Target
2025-12-05,Google Ads,Impressions,125000,100000
2025-12-05,Google Ads,Clicks,8750,7000
2025-12-05,Google Ads,CTR,7.0%,6.5%
2025-12-05,Google Ads,CPC,1.25,1.30
2025-12-05,Google Ads,Conversions,425,400
2025-12-05,Google Ads,CPA,25.50,27.00
2025-12-05,Facebook,Impressions,85000,80000
2025-12-05,Facebook,Clicks,5100,4500
2025-12-05,Facebook,CTR,6.0%,5.8%
2025-12-05,Facebook,CPC,0.95,1.00
2025-12-05,Organic,Sessions,15000,12000
2025-12-05,Organic,Users,12000,10000
2025-12-05,Organic,Bounce Rate,42%,45%
2025-12-05,Email,Opens,35000,30000
2025-12-05,Email,Clicks,4200,3800
2025-12-05,Email,Conversion Rate,12%,10%
2025-12-05,Overall,ROAS,3.75,3.50
2025-12-05,Overall,Total Revenue,157500,150000
2025-12-05,Overall,Total Cost,42000,45000
